NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Walnut,"village,",54,513,0.105263158,80,442,80,11,13,30,3,5,0,119,0,119,0,119,3,4,0,119,Illinois,,,
Walnut,Hill,5,47,0.106382979,22,37,22,2,3,9,0,119,0,119,3,6,0,119,0,119,0,119,"village,",Illinois,,
Walshville,"village,",6,30,0.2,18,2,3,21,13,11,0,119,0,119,1,4,0,119,0,119,0,119,Illinois,,,
Waltonville,"village,",39,164,0.237804878,37,115,35,2,3,19,0,119,0,119,8,10,0,119,0,119,0,119,Illinois,,,
Wamac,"city,",91,574,0.158536585,78,461,70,10,10,47,0,119,0,119,6,8,0,119,0,119,6,9,Illinois,,,
Wapella,"village,",17,225,0.075555556,72,193,70,3,5,23,0,119,0,119,12,19,0,119,0,119,0,119,Illinois,,,
Warren,"village,",88,659,0.13353566,71,517,59,10,7,34,44,16,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Warrensburg,"village,",122,450,0.271111111,60,328,48,0,119,37,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Warrenville,"city,",225,4800,0.046875,263,4536,282,39,38,90,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Warsaw,"city,",287,717,0.40027894,72,395,55,11,8,53,0,119,0,119,20,18,0,119,0,119,4,6,Illinois,,,
Washburn,"village,",40,509,0.078585462,69,466,61,3,5,24,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Washington,"city,",968,5461,0.177256913,177,4426,180,58,36,141,0,119,0,119,0,119,0,119,0,119,9,13,Illinois,,,
Washington,Park,320,1149,0.278503046,165,821,153,0,119,111,0,119,0,119,0,119,0,119,0,119,8,15,"village,",Illinois,,
Wataga,"village,",85,391,0.217391304,68,291,58,10,10,44,0,119,0,119,5,6,0,119,0,119,0,119,Illinois,,,
Waterloo,"city,",689,3924,0.175586137,175,3160,189,75,45,174,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Waterman,"village,",29,515,0.05631068,64,471,63,15,17,14,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Watseka,"city,",232,2373,0.09776654,191,2058,216,50,34,89,10,17,0,119,0,119,0,119,19,30,4,8,Illinois,,,
Watson,"village,",119,286,0.416083916,61,147,50,15,13,39,0,119,0,119,5,7,0,119,0,119,0,119,Illinois,,,
Wauconda,"village,",492,4685,0.105016009,253,4145,241,13,19,114,0,119,0,119,14,22,12,20,0,119,9,15,Illinois,,,
Waukegan,"city,",4705,29188,0.161196382,545,23801,589,131,58,556,139,92,0,119,0,119,10,17,333,155,69,45,Illinois,,,
Waverly,"city,",66,552,0.119565217,56,476,50,1,3,24,0,119,0,119,6,6,0,119,3,4,0,119,Illinois,,,
Wayne,"village,",19,881,0.021566402,129,853,132,0,119,21,5,8,0,119,0,119,0,119,4,7,0,119,Illinois,,,
Wayne,City,81,513,0.157894737,83,418,77,14,13,44,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Waynesville,"village,",11,183,0.06010929,41,164,39,3,4,13,3,5,0,119,2,4,0,119,0,119,0,119,Illinois,,,
Weldon,"village,",14,152,0.092105263,40,136,39,2,3,12,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Wellington,"village,",10,98,0.102040816,29,81,25,0,119,7,5,8,0,119,0,119,0,119,2,4,0,119,Illinois,,,
Wenona,"city,",53,426,0.124413146,56,363,50,10,8,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Wenonah,"village,",0,5,0,6,3,4,0,119,119,0,119,0,119,2,4,0,119,0,119,0,119,Illinois,,,
West,Brooklyn,7,53,0.132075472,17,46,15,0,119,10,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Westchester,"village,",165,6210,0.026570048,208,6023,216,0,119,90,0,119,0,119,0,119,0,119,22,25,0,119,Illinois,,,
West,Chicago,1226,7609,0.161124984,365,6301,404,47,40,219,0,119,0,119,10,15,0,119,25,30,0,119,"city,",Illinois,,
West,City,110,420,0.261904762,73,310,74,0,119,40,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
West,Dundee,260,2693,0.096546602,116,2422,139,0,119,94,0,119,0,119,0,119,0,119,11,18,0,119,"village,",Illinois,,
Western,Springs,107,4173,0.025641026,134,4039,146,0,119,58,0,119,0,119,13,20,0,119,14,22,0,119,"village,",Illinois,,
Westervelt,"CDP,",0,26,0,38,26,38,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Westfield,"village,",21,316,0.066455696,57,267,52,25,21,21,0,119,0,119,3,6,0,119,0,119,0,119,Illinois,,,
West,Frankfort,1026,3550,0.289014085,187,2452,196,25,24,150,22,38,0,119,16,19,0,119,9,15,0,119,"city,",Illinois,,
Westmont,"village,",1657,10196,0.162514712,335,8408,385,27,32,276,28,30,0,119,7,12,0,119,0,119,69,50,Illinois,,,
West,Peoria,151,1909,0.079099005,186,1758,193,0,119,81,0,119,0,119,0,119,0,119,0,119,0,119,"city,",Illinois,,
West,Point,6,55,0.109090909,19,42,15,0,119,10,2,5,0,119,5,5,0,119,0,119,0,119,"village,",Illinois,,
West,Salem,77,409,0.188264059,58,303,56,18,17,30,0,119,0,119,7,12,0,119,0,119,4,7,"village,",Illinois,,
West,Union,49,140,0.35,53,0,119,91,49,37,0,119,0,119,0,119,0,119,0,119,0,119,"CDP,",Illinois,,
Westville,"village,",220,1361,0.161645849,151,1120,176,12,18,84,0,119,0,119,9,15,0,119,0,119,0,119,Illinois,,,
West,York,0,17,0,18,0,119,11,14,119,0,119,0,119,6,11,0,119,0,119,0,119,"CDP,",Illinois,,
Wheaton,"city,",1463,19051,0.076793869,387,17403,404,56,45,238,10,16,0,119,0,119,0,119,77,49,42,35,Illinois,,,
Wheeler,"village,",7,45,0.155555556,25,37,25,0,119,9,0,119,0,119,1,3,0,119,0,119,0,119,Illinois,,,
Wheeling,"village,",2644,14606,0.181021498,482,11809,503,72,50,333,0,119,0,119,0,119,0,119,11,17,70,47,Illinois,,,
Whiteash,"village,",59,118,0.5,29,50,24,9,12,20,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
White,City,29,108,0.268518519,29,72,26,5,8,16,0,119,0,119,2,3,0,119,0,119,0,119,"village,",Illinois,,
White,Hall,94,989,0.095045501,100,866,87,10,13,37,0,119,0,119,19,18,0,119,0,119,0,119,"city,",Illinois,,
White,Heath,68,161,0.422360248,60,93,41,0,119,56,0,119,0,119,0,119,0,119,0,119,0,119,"CDP,",Illinois,,
Williamsfield,"village,",36,279,0.129032258,40,212,35,28,20,20,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Williamson,"village,",2,103,0.019417476,23,99,23,2,3,4,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Williamsville,"village,",68,558,0.121863799,74,487,70,3,5,30,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Willisville,"village,",90,249,0.361445783,46,147,40,3,5,37,0,119,0,119,9,9,0,119,0,119,0,119,Illinois,,,
Willowbrook,"village,",634,4116,0.154033042,274,3406,244,62,47,174,0,119,0,119,0,119,0,119,0,119,14,20,Illinois,,,
Willowbrook,"CDP,",57,869,0.065592635,93,797,94,15,22,52,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Willow,Hill,10,87,0.114942529,31,68,30,4,4,12,0,119,0,119,5,5,0,119,0,119,0,119,"village,",Illinois,,
Willow,Springs,168,2126,0.079021637,158,1952,145,0,119,114,6,10,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Wilmette,"village,",1001,9615,0.104108164,241,8463,256,28,24,141,24,28,0,119,0,119,0,119,13,20,86,60,Illinois,,,
Wilmington,"village,",0,39,0,16,39,16,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Wilmington,"city,",277,2219,0.124831005,171,1877,193,39,46,113,0,119,0,119,0,119,0,119,26,40,0,119,Illinois,,,
Wilsonville,"village,",38,224,0.169642857,56,173,51,13,13,29,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Winchester,"city,",106,724,0.14640884,79,601,72,13,11,34,4,5,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Windsor,"village,",54,306,0.176470588,58,252,53,0,119,22,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Windsor,"city,",75,530,0.141509434,70,429,65,20,18,33,0,119,0,119,0,119,0,119,6,9,0,119,Illinois,,,
Winfield,"village,",77,3538,0.021763708,165,3446,167,15,24,74,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Winnebago,"village,",65,1025,0.063414634,68,945,72,7,11,24,0,119,0,119,8,8,0,119,0,119,0,119,Illinois,,,
Winnetka,"village,",201,3974,0.050578762,112,3730,112,26,28,79,7,12,0,119,0,119,0,119,0,119,10,16,Illinois,,,
Winslow,"village,",21,111,0.189189189,26,2,4,68,23,14,19,13,0,119,0,119,0,119,1,2,0,119,Illinois,,,
Winthrop,Harbor,135,2516,0.053656598,107,2340,101,23,29,51,0,119,0,119,18,21,0,119,0,119,0,119,"village,",Illinois,,
Witt,"city,",70,407,0.171990172,69,320,62,3,6,42,0,119,0,119,14,15,0,119,0,119,0,119,Illinois,,,
Wonder,Lake,95,1358,0.069955817,157,1263,171,0,119,70,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Wood,Dale,786,5044,0.155828707,192,4229,207,17,25,150,12,20,0,119,0,119,0,119,0,119,0,119,"city,",Illinois,,
Woodhull,"village,",23,331,0.069486405,46,305,43,3,5,15,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Woodland,"village,",18,104,0.173076923,32,67,24,0,119,12,1,4,0,119,15,16,0,119,3,5,0,119,Illinois,,,
Woodlawn,"village,",83,269,0.308550186,53,136,39,39,29,34,0,119,0,119,4,6,0,119,3,4,4,6,Illinois,,,
Woodridge,"village,",1527,12345,0.123693803,331,10589,372,74,52,239,29,47,0,119,0,119,0,119,70,52,56,44,Illinois,,,
Wood,River,849,4227,0.200851668,232,3307,187,33,34,154,0,119,0,119,0,119,0,119,19,23,19,30,"city,",Illinois,,
Woodson,"village,",39,236,0.165254237,54,194,45,0,119,29,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Woodstock,"city,",1321,9137,0.144576995,289,7669,307,90,54,187,0,119,0,119,10,15,10,16,11,17,26,24,Illinois,,,
Worden,"village,",81,439,0.184510251,61,344,55,14,17,29,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Worth,"village,",667,4536,0.147045855,199,3803,252,48,44,186,18,31,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Wyanet,"village,",28,435,0.064367816,57,395,54,3,5,17,0,119,0,119,0,119,0,119,9,15,0,119,Illinois,,,
Wyoming,"city,",97,624,0.155448718,71,515,77,10,9,30,2,6,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Xenia,"village,",16,211,0.075829384,54,169,52,19,19,9,6,11,0,119,1,4,0,119,0,119,0,119,Illinois,,,
Yale,"village,",0,27,0,14,8,11,16,12,119,0,119,0,119,2,4,0,119,1,2,0,119,Illinois,,,
Yates,City,31,305,0.101639344,47,274,45,0,119,19,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Yorkville,"city,",708,5422,0.130579122,276,4622,275,72,55,182,5,9,0,119,0,119,0,119,15,24,0,119,Illinois,,,
Zeigler,"city,",218,670,0.325373134,73,421,67,21,18,46,0,119,0,119,0,119,0,119,0,119,10,16,Illinois,,,
Zion,"city,",1469,8117,0.180978194,281,6572,338,16,22,289,12,19,0,119,0,119,0,119,27,34,21,26,Illinois,,,
