NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Springfield,"city,",14543,50405,0.288522964,540,35271,777,409,116,653,18,21,0,119,0,119,0,119,115,55,49,40,Illinois,,,
Spring,Grove,22,1793,0.012269939,139,1771,140,0,119,28,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Spring,Valley,365,2305,0.15835141,135,1932,134,0,119,105,0,119,0,119,0,119,0,119,0,119,8,14,"city,",Illinois,,
Standard,"village,",10,115,0.086956522,36,104,36,1,4,8,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Standard,City,0,55,0,21,1,2,54,21,119,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Stanford,"village,",10,266,0.037593985,43,250,41,0,119,9,6,10,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Staunton,"city,",354,2210,0.160180995,179,1806,178,22,27,125,0,119,0,119,18,29,0,119,10,16,0,119,Illinois,,,
Steeleville,"village,",297,920,0.322826087,87,607,83,8,11,74,8,12,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Steger,"village,",431,4243,0.101579071,300,3746,298,9,15,159,13,21,0,119,9,14,0,119,35,36,0,119,Illinois,,,
Sterling,"city,",693,6130,0.113050571,228,5343,255,62,53,152,0,119,0,119,32,36,0,119,0,119,0,119,Illinois,,,
Steward,"village,",1,88,0.011363636,18,78,18,3,4,4,6,9,0,119,0,119,0,119,0,119,0,119,Illinois,,,
