GEO_ID,S1903_C02_001E,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,NAME
1600000US1719083,127750,1118,69,93.5,4.7,0,2.9,0,2.9,6.1,4.6,0,2.9,0,2.9,0.4,0.8,0.5,0.8,92.9,4.6,0,2.9,16.5,5.6,60.1,7.4,23.3,6.4,973,51,35.8,5.2,64.2,5.2,91.7,3.9,8.3,3.9,0,3.3,145,60,57.2,27.2,57.2,27.2,0,19.9,42.8,27.2,42.8,27.2,0,19.9,27.6,(X),24.5,(X),49,(X),18892,134107,16621,-,**,-,**,78750,42000,-,**,-,**,-,**,-,**,135078,16740,-,**,127171,55736,154028,23767,76083,21266,139449,15340,164167,21728,136797,12532,141250,20399,125114,29219,-,**,70313,43464,48693,38452,48693,38452,-,**,71339,35716,71339,35716,-,**,(X),(X),(X),(X),(X),(X),"Deer Park village, Illinois"
1600000US1719161,40228,15080,606,78.8,2.2,8.9,1.8,0.1,0.2,4.2,0.7,0,0.2,6.3,1.4,1.7,0.8,9.4,1.3,76.1,2.1,29.1,2.6,34.1,2,23.7,1.8,13.1,1,7418,408,51.3,3.4,48.7,3.4,73,3.8,20.1,2.9,6.9,2.5,7662,499,48.2,2.9,30.3,3.2,17.9,2.2,51.8,2.9,27.8,3.3,23.9,3.5,24.1,(X),21.8,(X),25.8,(X),2400,44290,2071,20962,9228,-,**,27717,8089,-,**,31748,4720,35417,26784,32538,6312,44302,2014,18580,2068,47067,2983,66352,5488,36890,2445,61406,3454,57451,6431,64965,10593,75012,3836,29020,8637,51520,12722,24839,2992,21104,2327,21444,2094,19770,5388,30399,5044,30500,10225,30349,5220,(X),(X),(X),(X),(X),(X),"DeKalb city, Illinois"
1600000US1719200,49375,205,46,98,4.6,0,14.6,0,14.6,2,4.6,0,14.6,0,14.6,0,14.6,0,14.6,98,4.6,0,14.6,30.7,13.5,50.7,13.4,18.5,10.8,143,40,38.5,16.5,61.5,16.5,88.1,12.3,6.3,9.4,5.6,9.5,62,25,50,28.8,45.2,30.8,4.8,7.7,50,28.8,43.5,26.5,6.5,10.2,23.4,(X),27.3,(X),14.5,(X),9490,48542,9933,-,**,-,**,-,**,-,**,-,**,-,**,-,**,48542,9933,-,**,42813,17408,70714,13394,22500,9009,67031,13246,55625,22006,70893,12032,70714,7447,-,**,-,**,14583,8695,15694,3490,15278,4084,-,**,"2,500-",***,"2,500-",***,-,**,(X),(X),(X),(X),(X),(X),"De Land village, Illinois"
1600000US1719226,45833,672,71,99.6,0.8,0,4.7,0,4.7,0,4.7,0,4.7,0,4.7,0.4,0.8,0,4.7,99.6,0.8,5.1,3.8,32.7,5.7,30.5,5.9,31.7,6.2,466,70,44.4,7.9,55.6,7.9,83.3,7,10.1,5.3,6.7,5.3,206,53,57.3,13.2,55.8,13.1,1.5,2.2,42.7,13.2,32.5,13.1,10.2,9.7,21.4,(X),20.8,(X),18,(X),7369,46250,7390,-,**,-,**,-,**,-,**,-,**,-,**,-,**,46250,7390,66750,29751,50577,7698,60104,10454,34712,4917,55263,6576,55592,6490,52431,12602,57778,8004,16477,10859,58750,37719,31167,6306,19643,8032,19107,7372,-,**,37250,6957,33750,6868,68125,20588,(X),(X),(X),(X),(X),(X),"Delavan city, Illinois"
1600000US1719499,35776,694,75,83.3,5.9,1.2,1.8,0,4.6,3.7,3.3,0,4.6,9.7,4.7,2.2,1.3,42.8,5.5,52.3,6.4,6.8,4.8,43.7,5.8,23.9,5.7,25.6,4.9,480,49,43.1,8.1,56.9,8.1,72.7,6.9,15.8,5.7,11.5,6.1,214,59,45.3,12.4,45.3,12.4,0,14.1,54.7,12.4,43.9,12.9,10.7,8.8,37.3,(X),36.7,(X),38.8,(X),5907,34038,7599,-,**,-,**,35781,21531,-,**,39297,5540,43438,21376,31250,11025,40515,9039,26625,4377,44514,6356,41731,8876,22143,4339,41442,4408,40781,9139,41736,6808,44583,5490,24688,13512,50795,27670,21607,4157,19688,4737,19688,4737,-,**,27039,3041,26447,5396,63203,39931,(X),(X),(X),(X),(X),(X),"De Pue village, Illinois"
1600000US1719616,31250,649,83,97.2,3,0,4.9,0,4.9,1.4,2.3,0,4.9,0,4.9,1.4,2.4,1.1,1.4,96.3,3.4,7.7,3.6,37.8,7.6,33.3,6.7,21.3,4.9,369,56,46.6,9.6,53.4,9.6,69.4,8.8,24.1,8.1,6.5,4.7,280,68,57.9,11.9,50.7,12,7.1,7.1,42.1,11.9,32.5,12.2,9.6,7.2,31,(X),24.7,(X),32.9,(X),7971,30509,6590,-,**,-,**,-,**,-,**,-,**,48594,14690,27813,1630,30787,7112,28571,10429,25268,5769,51389,7423,25750,6701,47750,6218,32143,23972,55625,11418,61250,8417,15625,19902,47727,30522,24079,4203,16354,6761,15962,8980,16818,15200,37083,13181,27708,10645,48906,5961,(X),(X),(X),(X),(X),(X),"De Soto village, Illinois"
1600000US1719642,60875,21917,396,85.4,1.5,1.1,0.5,0.2,0.2,7.3,1.1,0.1,0.1,5.2,1.2,0.7,0.3,9.9,1.3,80.3,1.5,1.9,0.6,30.2,1.7,40.4,1.7,27.6,1.2,14437,362,41.5,2.1,58.5,2.1,80.5,2.3,13,2,6.5,1.6,7480,478,59.5,3.6,54.8,3.5,4.7,1.7,40.5,3.6,33.1,3.5,7.3,2.1,24.7,(X),24.7,(X),24.2,(X),2342,61320,2513,38958,33876,50871,1555,82340,11208,-,**,48988,15370,58929,18994,55827,5293,61445,2500,40064,13454,74065,4791,78244,2369,32408,2754,76568,2941,78115,6096,75541,4105,82850,4898,46875,9650,52432,22744,34000,3502,27986,2568,26571,2519,68100,12410,48356,8049,39866,4611,108211,25777,(X),(X),(X),(X),(X),(X),"Des Plaines city, Illinois"
1600000US1719681,76328,45,29,100,44.2,0,44.2,0,44.2,0,44.2,0,44.2,0,44.2,0,44.2,0,44.2,100,44.2,0,44.2,20,25.4,68.9,32.9,11.1,16.1,21,18,4.8,18.4,95.2,18.4,90.5,14.8,9.5,14.8,0,64.7,24,24,12.5,25.9,12.5,25.9,0,60.5,87.5,25.9,79.2,36.8,8.3,23.6,13.3,(X),14.3,(X),12.5,(X),22089,76328,22089,-,**,-,**,-,**,-,**,-,**,-,**,-,**,76328,22089,-,**,47917,64259,77109,30568,29583,11066,92981,76946,-,**,93077,62880,93173,64647,-,**,-,**,75938,40198,-,**,-,**,-,**,76172,9203,76016,31053,-,**,(X),(X),(X),(X),(X),(X),"Detroit village, Illinois"
1600000US1719798,58125,95,28,96.8,7.7,0,28.3,0,28.3,0,28.3,0,28.3,0,28.3,3.2,7.7,0,28.3,96.8,7.7,0,28.3,24.2,17.7,36.8,15.4,38.9,15.8,68,27,32.4,24,67.6,24,97.1,4.7,2.9,4.7,0,35.7,27,15,44.4,24.7,44.4,24.7,0,57.1,55.6,24.7,48.1,27.3,7.4,14.7,17.9,(X),17.6,(X),18.5,(X),47116,61250,36926,-,**,-,**,-,**,-,**,-,**,-,**,-,**,61250,36926,-,**,64219,27086,84375,28059,16979,2074,64773,27039,78889,117429,63636,10194,70000,20962,-,**,-,**,16250,3804,15000,5067,15000,5067,-,**,17250,19659,16750,10547,-,**,(X),(X),(X),(X),(X),(X),"De Witt village, Illinois"
1600000US1719837,56406,948,129,92.4,5.8,3.1,4.5,0,3.4,0.7,1.2,0,3.4,0,3.4,3.8,3.8,1.9,1.9,90.5,6.1,5.1,4.8,44.3,8.3,37.9,7.4,12.8,3.9,669,118,48.9,9.6,51.1,9.6,74.6,8.3,20.2,7.9,5.2,3.8,279,84,51.6,12.6,47,13.6,4.7,5.3,48.4,12.6,43.4,12.8,5,5.9,25.7,(X),24.1,(X),23.3,(X),10811,56484,10983,-,**,-,**,-,**,-,**,-,**,97857,44915,71250,45372,56328,9935,9569,30830,65192,15244,68578,8072,29792,14377,67629,5678,65536,17375,68162,4378,69908,6265,16369,12546,37083,46394,38646,11122,22143,12861,20982,12059,47321,51618,45938,13376,45938,12298,83750,146146,(X),(X),(X),(X),(X),(X),"Diamond village, Illinois"
1600000US1719915,47557,223,43,99.1,1.7,0,13.5,0,13.5,0.9,1.7,0,13.5,0,13.5,0,13.5,0.9,2.1,98.2,2.7,1.8,2.6,22,8.7,40.8,10.9,35.4,10.8,170,41,31.2,11.4,68.8,11.4,81.2,8.5,10,7.5,8.8,7.2,53,24,66,20.8,66,20.8,0,40.7,34,20.8,28.3,19.8,5.7,10.1,19.3,(X),25.3,(X),0,(X),7955,47344,8434,-,**,-,**,-,**,-,**,-,**,-,**,-,**,47557,7871,23750,27702,84375,16910,48523,4077,28906,12678,50313,7349,77188,25816,49148,1952,56667,11500,22083,49541,24375,96099,20938,11549,20938,9880,20938,9880,-,**,26250,42534,14063,52218,-,**,(X),(X),(X),(X),(X),(X),"Dieterich village, Illinois"
1600000US1720045,65551,503,65,98.6,1.6,0,6.3,1.4,1.6,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,98.6,1.6,4,3.6,34.4,8.1,43.1,7.5,18.5,5.3,377,57,50.7,9.6,49.3,9.6,82,9.4,8.2,5.1,9.8,7.4,126,41,63.5,15.3,49.2,16.3,14.3,12.8,36.5,15.3,34.1,15.1,2.4,4.1,30,(X),29.2,(X),32.5,(X),3305,65515,3373,-,**,70313,24040,-,**,-,**,-,**,-,**,-,**,65515,3373,41750,22462,63125,15494,75417,14160,41607,14664,68523,11875,65208,10240,76667,8402,75787,9206,63594,40159,29375,36664,41176,9044,41607,14558,33750,35471,42250,32485,39583,28426,38958,19798,-,**,(X),(X),(X),(X),(X),(X),"Divernon village, Illinois"
1600000US1720123,16310,256,43,99.2,1.5,0,11.9,0,11.9,0,11.9,0,11.9,0,11.9,0.8,1.5,2,2.4,97.3,2.8,1.6,2.3,21.5,9,21.5,9,55.5,11.3,88,27,26.1,13.5,73.9,13.5,84.1,10.5,11.4,8.5,4.5,6.5,168,42,72.6,12.2,70.8,12,1.8,3.2,27.4,12.2,19,10.5,8.3,9.7,30.5,(X),37.5,(X),26.8,(X),2975,16429,2950,-,**,-,**,-,**,-,**,-,**,-,**,14063,40702,16607,2925,-,**,14688,27649,18958,37033,14875,2757,38750,8606,35417,47242,39792,6594,42813,10206,13750,6615,-,**,12031,2922,10000,2392,9883,2082,-,**,30714,20897,15625,30287,31591,53033,(X),(X),(X),(X),(X),(X),"Dix village, Illinois"
1600000US1720149,38817,1154,184,46,10.2,49.4,8.9,0,2.8,0,2.8,0,2.8,4.6,4.5,0,2.8,21.1,8.7,30.3,10.2,4.6,5.4,36.2,11.2,33.2,8.8,26,8.3,759,119,52,13.4,48,13.4,37.4,13.4,26.5,13,36.1,15.8,395,175,62.3,16.6,48.4,14.5,13.9,15.6,37.7,16.6,37.7,16.6,0,7.9,40.7,(X),49.4,(X),24.1,(X),5974,16250,16134,54250,16800,-,**,-,**,-,**,57546,28385,-,**,12684,7213,37586,29070,70801,12842,23333,16238,42417,26012,40577,11262,40539,17744,19766,15689,55286,15027,55678,4382,18828,14323,27708,35679,37627,18425,16742,18232,14612,2915,44263,27188,39145,18232,39145,18232,-,**,(X),(X),(X),(X),(X),(X),"Dixmoor village, Illinois"
